average_precision,roc_auc,precision_late,recall_late,f1_late,balanced_accuracy,accuracy,threshold
0.14389800201174383,0.7571943072868621,0.05667329943253003,0.9948253557567918,0.10723748431181146,0.5301570744615893,0.1151347615756738,0.33999999999999997
0.14389800201174383,0.7571943072868621,0.05634112389186021,0.9948253557567918,0.10664262931632229,0.5272367269402343,0.1096060815480304,0.32999999999999996
0.14389800201174383,0.7571943072868621,0.055980199461308874,0.9948253557567918,0.10599586492074431,0.5240243446667437,0.10352453351762267,0.31999999999999995
0.14389800201174383,0.7571943072868621,0.05580518915784896,0.9961190168175937,0.10568938302106924,0.5224809145561284,0.09944713199723566,0.30999999999999994
0.14389800201174383,0.7571943072868621,0.0555756044749188,0.9961190168175937,0.10527754990429314,0.520400166947163,0.09550794747753974,0.3
0.14389800201174383,0.7571943072868621,0.055463754580070405,0.9987063389391979,0.10509120609855704,0.5194305586789149,0.09136143745680719,0.29
0.14389800201174383,0.7571943072868621,0.05528501861930679,0.9987063389391979,0.10477030603243537,0.5177878631981526,0.08825155494125778,0.27999999999999997
0.14389800201174383,0.7571943072868621,0.05508776937348366,0.9987063389391979,0.10441604111719754,0.5159626459973058,0.08479612992398065,0.26999999999999996
0.14389800201174383,0.7571943072868621,0.05494270870400683,0.9987063389391979,0.10415542363734484,0.514611985268679,0.08223911541119558,0.25999999999999995
0.14389800201174383,0.7571943072868621,0.05486160397444997,1.0,0.10401668572966427,0.5138716507264365,0.0796821008984105,0.24999999999999994
0.14389800201174383,0.7571943072868621,0.05472566371681416,1.0,0.1037723184320043,0.5125939986858437,0.07726330338631651,0.24
0.14389800201174383,0.7571943072868621,0.054578832168325916,1.0,0.1035083020889127,0.5112068336132,0.0746371803731859,0.22999999999999998
0.14389800201174383,0.7571943072868621,0.05444812284285412,1.0,0.10327321309285237,0.5099656859166241,0.07228749136143746,0.21999999999999997
0.14389800201174383,0.7571943072868621,0.05431803808586888,1.0,0.10303918954945349,0.5087245382200482,0.06993780234968901,0.20999999999999996
0.14389800201174383,0.7571943072868621,0.054192372406057204,1.0,0.10281306111591408,0.5075198948674893,0.06765722183828611,0.19999999999999996
0.14389800201174383,0.7571943072868621,0.05408998670491918,1.0,0.10262878385554966,0.5065342775790319,0.06579129232895646,0.19
0.14389800201174383,0.7571943072868621,0.05400307391365097,1.0,0.10247232716908597,0.5056946776666423,0.06420179682100899,0.18
0.14389800201174383,0.7571943072868621,0.053893885519068534,1.0,0.102275734321249,0.5046360516901511,0.06219765031098825,0.16999999999999998
0.14389800201174383,0.7571943072868621,0.053826335213425246,1.0,0.10215409012818819,0.5039789734978463,0.06095369730476849,0.15999999999999998
0.14389800201174383,0.7571943072868621,0.05376643249634833,1.0,0.10204620462046204,0.5033949039935752,0.059847961299239805,0.14999999999999997
0.14389800201174383,0.7571943072868621,0.05370666296116167,1.0,0.10193854674930766,0.5028108344893042,0.05874222529371113,0.13999999999999999
0.14389800201174383,0.7571943072868621,0.05366937443588141,1.0,0.10187137585661571,0.5024457910491349,0.0580511402902557,0.13
0.14389800201174383,0.7571943072868621,0.053628416816983486,1.0,0.10179759004411668,0.5020442432649486,0.05729094678645474,0.12
0.14389800201174383,0.7571943072868621,0.053580092881402926,1.0,0.10171052631578947,0.5015696867927283,0.05639253628196268,0.10999999999999999
0.14389800201174383,0.7571943072868621,0.05352444259797812,1.0,0.10161025303976338,0.5010221216324743,0.055355908776779546,0.09999999999999999
0.14389800201174383,0.7571943072868621,0.05351703129327056,1.0,0.10159689820595387,0.5009491129444403,0.05521769177608846,0.09
0.14389800201174383,0.7571943072868621,0.05350221483942414,1.0,0.10157019906707838,0.5008030955683727,0.054941257774706286,0.08
0.14389800201174383,0.7571943072868621,0.05348370580502318,1.0,0.10153684487061605,0.500620573848288,0.05459571527297857,0.07
0.14389800201174383,0.7571943072868621,0.053476305776547904,1.0,0.10152350932492776,0.5005475651602541,0.05445749827228749,0.06
0.14389800201174383,0.7571943072868621,0.05346520957255499,1.0,0.10150351257304183,0.5004380521282032,0.05425017277125086,0.05
0.14389800201174383,0.7571943072868621,0.20081967213114754,0.06338939197930142,0.09636184857423795,0.5245763489063479,0.9364892881824465,0.8699999999999999
0.14389800201174383,0.7571943072868621,0.19428571428571428,0.04398447606727038,0.07172995780590717,0.5168451255272469,0.9391845196959226,0.8799999999999999
0.14389800201174383,0.7571943072868621,0.1875,0.027166882276843468,0.04745762711864407,0.5102615458328804,0.9417415342087077,0.8899999999999999
0.14389800201174383,0.7571943072868621,0.25806451612903225,0.02069857697283312,0.03832335329341317,0.5086700886616374,0.9445058742225294,0.8999999999999999
0.14389800201174383,0.7571943072868621,0.23529411764705882,0.01034928848641656,0.01982651796778191,0.5042255312987679,0.9453351762266758,0.9099999999999999
0.14389800201174383,0.7571943072868621,0.19047619047619047,0.00517464424320828,0.010075566750629723,0.5019667482733162,0.9456807187284036,0.9199999999999999
0.14389800201174383,0.7571943072868621,0.0,0.0,0.0,0.4997079652478645,0.9460262612301313,0.9299999999999999
0.14389800201174383,0.7571943072868621,0.0,0.0,0.0,0.49985398262393227,0.9463026952315134,0.94
0.14389800201174383,0.7571943072868621,0.0,0.0,0.0,0.4999634956559831,0.9465100207325501,0.95
